Name,white_1,white_2,red_1,red_2
IR_770,5,11,5,0
IR_771,6,2,6,2
IR_772,7,5,15,0
IR_773,10,12,0,1
IR_774,0,0,19,0
IR_775,74,54,49,18
IR_776,2,10,0,5
IR_778,0,7,5,7
IR_779,0,1,0,1
IR_780,0,3,1,0
IR_781,2,0,1,0
IR_782,23,17,37,18
IR_783,2,9,3,5
IR_784,18,36,16,19
IR_785,16,18,13,8
IR_787,17,17,8,6
IR_788,47,0,24,27
IR_789,43,29,27,13
IR_790,43,45,34,20
IR_791,66,41,49,30
IR_792,2,12,4,0
IR_793,4,1,1,4
IR_794,10,13,24,7
IR_795,1,8,38,2
IR_796,144,119,104,51
IR_797,3,4,9,0
IR_798,5,5,3,2
IR_799,45,70,58,70
IR_800,30,19,121,37
IR_801,26,36,0,23
IR_802,143,86,73,29
IR_803,1,0,0,1
IR_804,71,39,34,48
IR_805,25,8,20,17
IR_806,19,14,21,11
IR_808,19,11,14,17
IR_809,75,42,31,44
IR_812,21,13,12,2
IR_813,18,4,1,1
IR_814,0,0,3,0
IR_815,0,8,19,4
IR_816,5,3,4,4
IR_817,49,31,46,25
IR_820,36,30,24,25
IR_821,7,2,0,1
IR_822,4,1,0,1
IR_823,19,3,10,5
IR_824,3,5,11,3
IR_825,0,2,5,0
IR_826,26,32,5,9
IR_827,16,21,62,51
IR_828,4,16,15,5
IR_829,3,0,0,12
IR_830,0,0,1,11
IR_831,0,3,0,6
IR_832,122,39,79,33
IR_833,11,8,18,3
IR_834,0,1,4,1
IR_835,0,0,0,0
IR_837,4,1,1,6
IR_838,13,11,7,11
IR_839,625,457,552,374
IR_840,7,0,1,0
IR_842,17,10,5,10
IR_843,24,17,6,12
IR_844,34,15,25,11
IR_845,24,22,17,12
IR_846,7,3,26,4
IR_847,48,16,13,22
IR_848,16,18,20,10
IR_850,83,84,54,44
IR_851,18,15,18,12
IR_852,93,82,136,99
IR_853,4,0,6,2
IR_854,8,6,4,7
IR_855,0,0,0,15
IR_856,26,19,15,8
IR_857,42,33,23,12
IR_858,28,11,24,10
IR_859,1091,689,1486,666
IR_861,43,42,40,65
IR_862,0,3,5,5
IR_865,29,5,10,9
IR_866,114,87,13,0
IR_867,16,11,4,1
IR_868,9,7,19,10
IR_869,32,34,34,20
IR_870,11,2,3,5
IR_871,82,91,111,66
IR_872,30,55,56,58
IR_874,215,115,115,87
IR_875,53,35,24,8
IR_876,2,13,0,0
IR_877,14,3,6,9
IR_878,38,34,26,19
IR_879,144,107,88,34
IR_880,138,146,73,61
IR_881,4,1,0,0
IR_882,2,0,1,5
IR_883,5,3,0,0
IR_884,7,8,9,7
IR_885,0,4,7,3
IR_886,18,30,33,17
IR_887,19,12,6,12
IR_888,31,50,2,16
IR_889,69,34,51,35
IR_890,50,8,18,42
IR_891,19,24,14,13
IR_892,22,11,1,11
IR_893,50,40,28,26
IR_894,44,29,14,18
IR_895,62,55,50,39
IR_896,5,3,7,1
IR_897,6,11,0,8
IR_898,2,2,0,0
IR_899,4,4,0,0
IR_901,4,154,7,25
IR_902,24,0,0,0
IR_903,5,10,21,5
IR_904,4,2,1,2
IR_905,45,32,61,19
IR_906,7,18,8,1
IR_907,59,56,36,44
IR_908,3,0,0,3
IR_909,44,36,26,21
IR_910,146,78,120,72
IR_911,12,18,4,11
IR_912,22,0,15,4
IR_913,17,19,9,24
IR_914,24,14,10,0
IR_915,54,48,48,32
IR_916,120,99,142,100
IR_918,13,11,5,4
IR_919,24,24,6,9
IR_920,17,13,10,1
IR_921,0,5,1,0
IR_922,24,12,33,24
IR_923,18,14,11,1
IR_924,0,8,6,0
IR_925,0,0,0,1
IR_926,0,1,0,1
IR_927,7,4,2,0
IR_928,41,32,21,12
IR_929,1,0,0,0
IR_930,161,114,84,42
IR_931,127,1,0,52
IR_932,8,7,14,6
IR_933,12,14,9,0
IR_934,29,31,15,14
IR_936,0,0,0,0
IR_939,3,2,2,3
IR_941,9,1,4,2
IR_942,32,19,13,9
IR_944,2,1,5,3
IR_945,103,136,229,143
IR_946,13,18,6,10
IR_947,38,32,18,20
IR_948,181,166,149,89
IR_949,42,44,67,32
IR_950,170,182,229,166
IR_951,393,395,572,361
IR_954,1,1,6,6
