"","white_1","white_2","red_1","red_2"
"IR_7634",43.1630615404111,41.6842114050465,34.3729712871364,35.4184791093923
"IR_7635",77.69351077274,93.7894756613547,158.722249767071,190.951800415854
"IR_7636",21.2495072198947,26.9210531990925,7.07678820617513,33.8785452350709
"IR_7638",11.2888007105691,16.5000003478309,27.2961830809612,20.0191403661783
"IR_7639",0,13.8947371350155,5.05484871869652,15.3993387432141
"IR_7640",6.64047100621709,12.1578949931386,1.0109697437393,9.23960324592843
"IR_7641",3.98428260373026,6.07894749656928,23.252304106004,24.6389419891425
"IR_7643",6.64047100621709,8.68421070938469,2.02193948747861,6.15973549728562
"IR_7644",7.3045181068388,2.60526321281541,12.1316369248717,4.61980162296422
"IR_7645",2.65618840248684,1.73684214187694,2.02193948747861,12.3194709945712
"IR_7647",7.3045181068388,0.868421070938469,11.1206671811324,13.8594048688926
"IR_7648",4.64832970435196,0,9.09872769365374,3.07986774864281
"IR_7649",5.31237680497367,7.81578963844622,10.109697437393,24.6389419891425
"IR_7650",23.9056956223815,22.5789478444002,8.08775794991444,47.7379501039636
"IR_7651",33.8664021317072,33.0000006956618,17.1864856435682,50.8178178526064
"IR_7652",15.2730833142993,0.868421070938469,16.1755158998289,4.61980162296422
"IR_7653",6.64047100621709,11.2894739222001,3.03290923121791,1.53993387432141
"IR_7654",4.64832970435196,4.34210535469235,4.04387897495722,7.69966937160703
"IR_7655",8.63261230808222,6.94736856750775,20.2193948747861,13.8594048688926
"IR_7656",16.6011775155427,29.526316411908,63.6910938555762,0
"IR_7657",43.8271086410328,19.9736846315848,40.4387897495722,27.7188097377853
"IR_7658",53.1237680497367,107.68421279637,38.4168502620936,20.0191403661783
"IR_7659",391.123742266187,449.842114746127,260.830193884741,275.648163503532
"IR_7660",1.32809420124342,2.60526321281541,4.04387897495722,3.07986774864281
"IR_7661",17.2652246161644,29.526316411908,16.1755158998289,9.23960324592843
"IR_7662",6.64047100621709,5.21052642563081,11.1206671811324,16.9392726175355
"IR_7663",0,13.026316064077,0,0
"IR_7664",2.65618840248684,2.60526321281541,0,23.0990081148211
"IR_7665",114.880148407556,120.710528860447,80.8775794991444,73.9168259674275
"IR_7666",8.63261230808222,8.68421070938469,6.06581846243583,6.15973549728562
"IR_7667",33.2023550310855,31.2631585537849,25.2742435934826,18.4792064918569
"IR_7668",6.64047100621709,4.34210535469235,4.04387897495722,15.3993387432141
"IR_7669",58.4361448547104,70.342106746016,56.6143056494011,67.7570904701418
"IR_7670",0,13.8947371350155,3.03290923121791,18.4792064918569
"IR_7671",17.9292717167862,25.1842110572156,18.1974553873075,21.5590742404997
"IR_7672",62.4204274584407,94.6578967322931,56.6143056494011,66.2171565958204
"IR_7673",12.6168949118125,34.7368428375388,9.09872769365374,21.5590742404997
"IR_7674",41.170920238546,15.6315792768924,40.4387897495722,16.9392726175355
"IR_7675",6.64047100621709,13.8947371350155,20.2193948747861,27.7188097377853
"IR_7676",53.7878151503584,44.2894746178619,51.5594569307045,60.0574210985348
"IR_7677",7.96856520746051,15.6315792768924,9.09872769365374,15.3993387432141
"IR_7678",16.6011775155427,24.3157899862771,22.2413343622647,18.4792064918569
"IR_7679",28.5540253267335,46.0263167597389,37.4058805183543,66.2171565958204
"IR_7680",7.96856520746051,11.2894739222001,9.09872769365374,35.4184791093923
"IR_7681",7.3045181068388,2.60526321281541,13.142606668611,7.69966937160703
"IR_7682",9.96070650932564,14.763158205954,11.1206671811324,7.69966937160703
"IR_7683",18.5933188174079,19.1052635606463,20.2193948747861,29.2587436121067
"IR_7684",18.5933188174079,33.8684217666003,5.05484871869652,0
"IR_7685",7.3045181068388,16.5000003478309,4.04387897495722,10.7795371202498
"IR_7686",25.8978369242467,21.7105267734617,16.1755158998289,0
"IR_7687",1.99214130186513,0.868421070938469,6.06581846243583,1.53993387432141
"IR_7688",17.9292717167862,36.4736849794157,34.3729712871364,29.2587436121067
"IR_7689",3.32023550310855,6.94736856750775,12.1316369248717,6.15973549728562
"IR_7690",6.64047100621709,6.94736856750775,3.03290923121791,9.23960324592843
"IR_7691",17.2652246161644,18.2368424897079,16.1755158998289,0
"IR_7692",6.64047100621709,6.94736856750775,10.109697437393,4.61980162296422
"IR_7693",27.2259311254901,15.6315792768924,36.394910774615,4.61980162296422
"IR_7694",3.98428260373026,6.94736856750775,11.1206671811324,7.69966937160703
"IR_7695",11.9528478111908,14.763158205954,9.09872769365374,6.15973549728562
"IR_7696",45.1552028422762,30.3947374828464,17.1864856435682,21.5590742404997
"IR_7697",21.2495072198947,20.8421057025233,10.109697437393,23.0990081148211
"IR_7699",13.2809420124342,26.9210531990925,9.09872769365374,3.07986774864281
"IR_7700",6.64047100621709,0,0,0
"IR_7701",21.9135543205164,17.3684214187694,5.05484871869652,6.15973549728562
"IR_7702",87.6542172820656,72.9473699588314,77.8446702679265,133.974247065962
"IR_7703",42.4990144397894,17.3684214187694,65.7130333430548,83.1564292133559
"IR_7704",0,0.868421070938469,10.109697437393,29.2587436121067
"IR_7705",1.99214130186513,5.21052642563081,5.05484871869652,9.23960324592843
"IR_7706",6.64047100621709,12.1578949931386,21.2303646185254,20.0191403661783
"IR_7707",6.64047100621709,11.2894739222001,7.07678820617513,10.7795371202498
"IR_7708",33.2023550310855,49.5000010434927,34.3729712871364,32.3386113607495
"IR_7709",142.770126633667,144.157897775786,135.469945661067,124.734643820034
"IR_7710",6.64047100621709,19.1052635606463,14.1535764123503,16.9392726175355
"IR_7711",28.5540253267335,41.6842114050465,46.504608212008,61.5973549728562
"IR_7712",13.2809420124342,0,3.03290923121791,15.3993387432141
"IR_7713",21.2495072198947,14.763158205954,28.3071528247005,21.5590742404997
"IR_7714",31.874260829842,27.789474270031,54.5923661619225,24.6389419891425
"IR_7715",1.99214130186513,4.34210535469235,5.05484871869652,1.53993387432141
"IR_7716",833.379111280245,880.578965931608,539.857843156789,586.714806116455
"IR_7717",405.732778479864,453.315799029881,240.610799009955,277.188097377853
"IR_7718",22.5776014211381,11.2894739222001,12.1316369248717,24.6389419891425
"IR_7719",112.888007105691,139.815792421094,155.689340535853,144.753784186212
"IR_7720",0,19.1052635606463,58.6362451368797,0
"IR_7723",12.6168949118125,3.47368428375388,9.09872769365374,0
"IR_7724",23.2416485217598,8.68421070938469,10.109697437393,15.3993387432141
"IR_7725",5.31237680497367,4.34210535469235,12.1316369248717,4.61980162296422
"IR_7726",21.2495072198947,45.1578956888004,37.4058805183543,32.3386113607495
"IR_7727",37.8506847354374,53.8421063981851,21.2303646185254,18.4792064918569
"IR_7728",15.937130414921,32.1315796247234,21.2303646185254,9.23960324592843
"IR_7729",90.3104056845524,75.5526331716468,53.5813964181832,67.7570904701418
"IR_7730",104.255394797608,105.078949583555,270.939891322134,257.168957011675
"IR_7731",19.2573659180296,30.3947374828464,40.4387897495722,35.4184791093923
"IR_7732",6.64047100621709,9.55263178032316,11.1206671811324,4.61980162296422
"IR_7733",46.4832970435196,8.68421070938469,53.5813964181832,50.8178178526064
"IR_7734",72.3811339677663,85.10526495197,60.6581846243583,35.4184791093923
"IR_7735",57.108050653467,52.1052642563082,35.3839410308757,38.4983468580351
"IR_7736",43.8271086410328,41.6842114050465,30.3290923121791,30.7986774864281
"IR_7737",15.2730833142993,33.0000006956618,12.1316369248717,32.3386113607495
"IR_7739",51.1316267478716,46.8947378306773,30.3290923121791,26.1788758634639
"IR_7740",9.29665940870393,13.026316064077,9.09872769365374,49.277883978285
"IR_7741",6.64047100621709,15.6315792768924,19.2084251310468,16.9392726175355
"IR_7742",23.9056956223815,33.0000006956618,30.3290923121791,4.61980162296422
"IR_7743",9.29665940870393,13.026316064077,64.7020635993155,4.61980162296422
"IR_7744",5.97642390559538,7.81578963844622,7.07678820617513,6.15973549728562
"IR_7746",27.8899782261118,28.6578953409695,53.5813964181832,32.3386113607495
"IR_7747",8.63261230808222,5.21052642563081,36.394910774615,7.69966937160703
"IR_7748",30.5461666285986,22.5789478444002,49.5375174432259,41.5782146066779
"IR_7749",3.98428260373026,5.21052642563081,5.05484871869652,3.07986774864281
"IR_7750",22.5776014211381,28.6578953409695,68.7459425742727,27.7188097377853
"IR_7752",40.5068731379243,46.8947378306773,36.394910774615,20.0191403661783
"IR_7753",15.2730833142993,28.6578953409695,4.04387897495722,40.0382807323565
"IR_7754",40.5068731379243,29.526316411908,15.1645461560896,20.0191403661783
"IR_7755",69.0608984646578,56.4473696110005,95.0311559114947,56.977553349892
"IR_7756",135.465608526829,124.184213144201,94.0201861677554,115.495040574105
"IR_7757",6.64047100621709,3.47368428375388,11.1206671811324,12.3194709945712
"IR_7759",66.4047100621709,46.8947378306773,43.4716989807901,58.5174872242134
"IR_7760",14.6090362136776,15.6315792768924,6.06581846243583,26.1788758634639
"IR_7761",75.0373223702532,113.763160292939,74.8117610367086,69.2970243444632
"IR_7762",77.69351077274,82.5000017391546,60.6581846243583,35.4184791093923
"IR_7763",14.6090362136776,20.8421057025233,16.1755158998289,30.7986774864281
"IR_7764",31.2102137292203,51.2368431853697,24.2632738497433,49.277883978285
"IR_7765",3.32023550310855,1.73684214187694,2.02193948747861,13.8594048688926
"IR_7766",4.64832970435196,2.60526321281541,0,52.3577517269278
"IR_7767",41.170920238546,49.5000010434927,21.2303646185254,18.4792064918569
"IR_7768",9.96070650932564,4.34210535469235,11.1206671811324,6.15973549728562
"IR_7770",21.9135543205164,39.0789481922311,36.394910774615,23.0990081148211
"IR_7771",13.9449891130559,11.2894739222001,10.109697437393,15.3993387432141
"IR_7772",15.2730833142993,37.3421060503542,23.252304106004,18.4792064918569
"IR_7773",4.64832970435196,26.9210531990925,3.03290923121791,0
"IR_7774",9.29665940870393,3.47368428375388,3.03290923121791,15.3993387432141
"IR_7775",7.3045181068388,7.81578963844622,7.07678820617513,4.61980162296422
"IR_7776",45.8192499428979,44.2894746178619,6.06581846243583,32.3386113607495
"IR_7778",31.2102137292203,5.21052642563081,1.0109697437393,29.2587436121067
"IR_7779",0.664047100621709,4.34210535469235,12.1316369248717,4.61980162296422
"IR_7780",13.2809420124342,4.34210535469235,1.0109697437393,6.15973549728562
"IR_7781",6.64047100621709,1.73684214187694,1.0109697437393,10.7795371202498
"IR_7782",6.64047100621709,3.47368428375388,17.1864856435682,12.3194709945712
"IR_7783",134.801561426207,133.736844924524,168.831947204464,144.753784186212
"IR_7784",3.32023550310855,16.5000003478309,15.1645461560896,18.4792064918569
"IR_7787",26.5618840248684,19.9736846315848,21.2303646185254,49.277883978285
"IR_7788",51.7956738484933,65.1315803203852,82.899518986623,55.4376194755706
"IR_7789",27.8899782261118,40.8157903341081,58.6362451368797,52.3577517269278
"IR_7790",13.9449891130559,17.3684214187694,16.1755158998289,15.3993387432141
"IR_7791",11.9528478111908,17.3684214187694,13.142606668611,3.07986774864281
"IR_7792",15.937130414921,21.7105267734617,45.4936384682687,20.0191403661783
"IR_7793",57.7720977540887,57.315790681939,32.3510317996578,72.3768920931061
"IR_7794",2.65618840248684,4.34210535469235,2.02193948747861,1.53993387432141
"IR_7795",8.63261230808222,21.7105267734617,1.0109697437393,6.15973549728562
"IR_7796",3.98428260373026,1.73684214187694,1.0109697437393,3.07986774864281
"IR_7797",109.567771602582,64.2631592494467,38.4168502620936,75.4567598417489
"IR_7798",13.2809420124342,29.526316411908,19.2084251310468,4.61980162296422
"IR_7801",31.874260829842,8.68421070938469,10.109697437393,20.0191403661783
"IR_7802",9.29665940870393,22.5789478444002,39.4278200058329,1.53993387432141
"IR_7803",31.2102137292203,13.8947371350155,94.0201861677554,9.23960324592843
"IR_7804",13.9449891130559,16.5000003478309,10.109697437393,10.7795371202498
"IR_7805",1.32809420124342,0,8.08775794991444,1.53993387432141
"IR_7806",22.5776014211381,46.0263167597389,30.3290923121791,26.1788758634639
"IR_7808",37.1866376348157,24.3157899862771,45.4936384682687,29.2587436121067
"IR_7809",35.8585434335723,37.3421060503542,62.6801241118369,40.0382807323565
"IR_7810",85.6620759802005,96.3947388741701,303.290923121791,287.967634498103
"IR_7811",1.32809420124342,1.73684214187694,5.05484871869652,4.61980162296422
"IR_7813",36.522590534194,29.526316411908,21.2303646185254,30.7986774864281
"IR_7814",3.32023550310855,11.2894739222001,5.05484871869652,13.8594048688926
"IR_7816",5.31237680497367,8.68421070938469,7.07678820617513,1.53993387432141
"IR_7817",10.6247536099473,52.9736853272466,2.02193948747861,15.3993387432141
"IR_7818",21.2495072198947,52.1052642563082,36.394910774615,53.8976856012492
"IR_7819",31.874260829842,29.526316411908,52.5704266744439,1.53993387432141
"IR_7820",0,5.21052642563081,2.02193948747861,3.07986774864281
"IR_7822",17.2652246161644,15.6315792768924,11.1206671811324,4.61980162296422
"IR_7823",7.96856520746051,19.1052635606463,6.06581846243583,24.6389419891425
"IR_7824",4.64832970435196,4.34210535469235,1.0109697437393,1.53993387432141
