"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IR_6916",40.5784554359945,2.06796683216082,0.548368346328248,3.77112728334425,0.000162511749544648,0.00742910855061248
"IR_6769",18.9361901527142,-5.92849385191206,1.57879474605805,-3.75507574161517,0.000173289066202008,0.00786266807841945
"IR_3438",45.9390667472687,2.13174016290815,0.572129546755958,3.72597460661728,0.000194561992054209,0.00869382686559007
"IR_5455",59.6875238217596,1.42902884449025,0.383709208862477,3.72424953971439,0.000195897085622671,0.00869382686559007
"IR_1288",19.1828544716767,4.15394710440664,1.11706874753228,3.71861366060337,0.000200319153793286,0.0088256554714723
"IR_1035",232.687905389529,1.05485898136592,0.284395765688904,3.70912337182901,0.000207978076210868,0.00896813264795798
"IR_5174",162.183627530627,1.06497503981438,0.287098288594258,3.70944405495729,0.000207714847140246,0.00896813264795798
"IR_5253",29.6534431078325,2.14991941494867,0.580128191587503,3.70593852552741,0.000210609382672578,0.00901764117358644
"IR_4146",43.653263878368,-1.77491538561125,0.480631529902077,-3.69288170913978,0.0002217271751655,0.00942728129374993
"IR_6367",41.1628031421086,1.96501710358979,0.532643876017734,3.68917618706342,0.000224981380017943,0.0094992138229798
"IR_360",167.861502394291,-1.19859609401196,0.325904029510089,-3.6777578227975,0.000235293197555781,0.00986608718026998
"IR_5400",66.5685564208893,1.53511436107019,0.417716297477376,3.67501668079716,0.000237833875249969,0.0099043148049302
"IR_7635",130.289259154255,1.02667260950343,0.28035305963038,3.66207028686258,0.000250185190692685,0.0103477956422553
"IR_3321",149.330708767742,1.17824486141253,0.323111036568462,3.64656334220536,0.000265770986542997,0.0109181594471718
"IR_4758",8.81940088927941,6.96721212853152,1.9175620278375,3.63336988706888,0.000279743543268093,0.011415038544094
"IR_8742",15.3298764787805,3.70386633444651,1.02494649410999,3.61371677032053,0.000301838777550477,0.0122345317833793
"IR_2028",7.77321225747143,6.79530362932124,1.88340832004446,3.6079821656309,0.000308587696254526,0.0124195584230107
"IR_4289",10.0121366077204,-6.44476677923616,1.78704206275227,-3.60638784814634,0.000310488960575267,0.0124195584230107
"IR_6627",10.0632301002995,-6.45165973332909,1.79093426459343,-3.6023989606306,0.000315293966826993,0.0125293288778308
"IR_8682",55.7895022062024,1.75867395760292,0.488512931186009,3.60005609950431,0.00031814853245741,0.0125606693333835
"IR_8912",12.7413303153886,6.07919464554418,1.68981068200339,3.59755960255671,0.000321216902788672,0.012599992057775
"IR_6274",18.0303277231982,3.05264983738071,0.849124596823898,3.59505524724989,0.000324322744733837,0.012640271076806
"IR_6190",9.64175086224816,-6.39217127161664,1.78838812834429,-3.57426398123913,0.000351214454860381,0.0135150878832349
"IR_8503",11.6378916823582,7.39323521560712,2.07816931643507,3.55757115512109,0.000374299729381904,0.0141350456810061
"IR_3992",109.790852720543,-1.07764019958956,0.304982024181733,-3.53345480764275,0.000410166206546764,0.015393892196323
"IR_129",18.6212663744449,3.57611959543243,1.01393484964359,3.52697177406368,0.000420341571577055,0.0156789984980889
"IR_1835",19.6777464900503,3.48601363240502,0.990128295013643,3.52076963153244,0.000430296270199408,0.0159524470903195
"IR_3543",16.8331433194745,3.64112681326034,1.03702416753187,3.51113014263329,0.000446205894043526,0.0164420111259675
"IR_7472",10.8796643745538,7.2965021793925,2.08864124030859,3.49342052554438,0.000476874904537441,0.017466261563781
"IR_1033",37.7546285381777,1.83472913999412,0.527287696873309,3.47955992691206,0.000502238029807323,0.0182562491131172
"IR_3249",64.9133506092915,1.99024589975426,0.572175639711141,3.47838279301618,0.000504448988651923,0.0182562491131172
"IR_5974",12.2751993067419,5.98550805058356,1.72269155414033,3.47450943043051,0.000511788373913821,0.0184122681266037
"IR_8676",41.2245115291916,1.85384008084229,0.534225783527806,3.47014340753135,0.000520180549815129,0.0186041043698587
"IR_3301",232.602981558979,1.11104870188084,0.320573692986663,3.46581371518549,0.000528629408590137,0.0187098845831162
"IR_7614",47.0712223080105,2.47388245282251,0.713865021168167,3.4654764969073,0.000529292787548681,0.0187098845831162
"IR_5005",12.2181044133181,4.43793866988898,1.28214182653178,3.4613477058881,0.000537478126954169,0.0188894046929558
"IR_6118",17.5475715733045,6.49674905253722,1.87865876535749,3.45818472856137,0.000543828357611748,0.0190027380131002
"IR_9354",37.1810638554365,-2.7428000963046,0.802166525889842,-3.41924027964395,0.000627962482037474,0.0218172108045019
"IR_4446",35.8802488820924,3.82378859181853,1.11981179769698,3.41467075064094,0.000638591532422743,0.022060434756422
"IR_6273",37.9148233717542,1.9853172941387,0.581698562211029,3.41296579209778,0.000642600077762673,0.0220734941965935
"IR_8851",15.4639677807585,3.01508974543657,0.884984657137979,3.40694013293666,0.000656955350014001,0.0224398231914895
"IR_4504",36.9019802132619,-1.77342231469733,0.524196225931955,-3.38312682725711,0.000716655285674103,0.0243340533142581
"IR_3779",14.4134890659976,3.51472580162349,1.04245794408059,3.37157563197752,0.000747395141133058,0.0249679255938956
"IR_8535",71.7189936194188,-1.33115305312551,0.395154611371447,-3.3686891531027,0.000755265539876194,0.0250929753139195
"IR_2746",14.8685731337697,-4.43462648381847,1.32149583221335,-3.35576274681924,0.000791464348787978,0.0261527350034288
"IR_7071",138.034694759602,1.04279279912,0.311057466204587,3.35241205377189,0.000801106890925285,0.0263282697125715
"IR_5511",8.79879238614541,-6.26493373498214,1.86979394758864,-3.35060114140472,0.000806363561607658,0.026358550831046
"IR_2966",41.9209647200689,-2.26029456527302,0.677155801040592,-3.33792394866824,0.00084406848451341,0.0272975339672422
"IR_5059",15.2245294590415,-5.54858608359613,1.66168909194369,-3.33912409396989,0.000840430114259512,0.0272975339672422
"IR_2256",48.4807228345951,1.45796497739556,0.438018603986659,3.32854578350277,0.000873006547090616,0.0280166241621458
"IR_3314",57.991049252175,1.43899003808169,0.432801532954847,3.32482657410508,0.000884735499857235,0.0280166241621458
"IR_4736",101.335558163499,1.48307690595458,0.445931473447106,3.32579554093864,0.000881665760647601,0.0280166241621458
"IR_1157",17.5019369805461,2.77404230728211,0.837253367472573,3.31326503428245,0.000922135519968514,0.0290496578311325
"IR_9145",102.053082147875,1.0283024302398,0.311065787898264,3.30573939740398,0.000947261450368074,0.0296873691661747
